"CERT","CHCLASS1","CITYST","COST","FAILDATE","FIN","ID","NAME","QBFASSET","QBFDEP","RESTYPE","RESTYPE1","SAVR"
"29768","SL","CRESTLINE, OH","6949","11/20/1992","1225","3418","CRESTLINE FS & LA","27455","26775","FAILURE","PA","RTC"
"18245","SI","NEW BRITAIN, CT","78973","12/4/1992","4551","3419","BURRITT INTERFINANCIAL BANCORPORATION","523850","506022","FAILURE","PI","BIF"
"21996","SI","HOLYOKE, MA","24010","12/4/1992","4553","3420","HERITAGE BANK FOR SAVINGS","1288435","1000727","FAILURE","PI","BIF"
"26440","NM","HUNTINGTON, CA","17368","12/4/1992","4552","3421","HUNTINGTON PACIFIC THRIFT & LOAN","40476","38255","FAILURE","PO","BIF"
"30080","SL","MADISON, NJ","23977","12/4/1992","1309","3422","CARTERET FSB","4827462","2716356","FAILURE","PA","RTC"
"30217","SL","VINELAND, NJ","41434","12/4/1992","1287","3423","SECURITY FEDERAL","1185897","857581","FAILURE","PA","RTC"
"32339","SB","SALISBURY, MD","78024","12/4/1992","1302","3424","SECOND NATIONAL, FSB","1572770","1159197","FAILURE","PA","RTC"
"32244","SB","PALM BEACH GARDEN, FL","20897","12/8/1992","1240","3425","PALM BEACH FSA","59403","54369","FAILURE","PA","RTC"
"9015","NM","PRINCETON, TX","247","12/10/1992","2020","3426","CITIZENS STATE BANK","12943","12779","ASSISTANCE","A/A","BIF"
"15750","SI","PHILADELPHIA, PA","0","12/11/1992","4556","3427","MERITOR SAVINGS BANK","4126701","2909344","FAILURE","PA","BIF"
"16977","SI","WOONSOCKET, RI","10303","12/11/1992","4558","3428","EASTLAND SAVINGS BANK","515301","499012","FAILURE","PI","BIF"
"19725","NM","WOONSOCKET, RI","0","12/11/1992","4557","3429","EASTLAND BANK","85405","76172","FAILURE","PI","BIF"
"25306","SM","VIENNA, VA","4958","12/11/1992","4554","3430","SAILORS & MERCHANTS B&T CO.","34775","34481","FAILURE","PA","BIF"
"4378","N","RUSHVILLE, IN","6046","12/18/1992","4560","3431","THE RUSHVILLE NATIONAL BANK","41631","39677","FAILURE","PI","BIF"
"17428","NM","BREMEN, KS","722","12/18/1992","4559","3432","THE BREMEN STATE BANK","2679","2623","FAILURE","PO","BIF"
"24320","N","SANTA MONICA, CA","17631","1/22/1993","4561","3433","COLUMBIA NATIONAL BANK","47618","47627","FAILURE","PI","BIF"
"6290","N","BRADFORD, VT","25528","1/29/1993","4562","3434","FIRST NATIONAL BANK OF VERMONT","295784","282378","FAILURE","PI","BIF"
"29892","SB","PROVIDENCE, RI","73560","1/29/1993","1290","3435","OLD STONE SB","1847236","1704347","FAILURE","PA","RTC"
"32484","SB","CANOGA PARK, CA","15123","1/29/1993","1220","3436","VISTA FSA","105114","94489","FAILURE","PO","RTC"
"33186","SB","BATON ROUGE, LA","2207","1/29/1993","1258","3437","LIFE FSB","16753","16512","FAILURE","PA","RTC"
"17118","NM","HALTOM CITY, TX","14480","2/5/1993","4563","3438","AMERICAN BANK OF HALTOM CITY","99525","100195","FAILURE","PI","BIF"
"5499","N","ROSEBUD, TX","1499","2/25/1993","4564","3439","THE PLANTERS NB OF ROSEBUD","13728","13636","FAILURE","PI","BIF"
"7135","N","WATERTOWN, NY","43540","2/26/1993","4565","3440","JEFFERSON NATIONAL BANK","256014","248652","FAILURE","PI","BIF"
"23631","N","LAGUNA BEACH, CA","7393","3/4/1993","4566","3441","FIRST AMERICAN CAPITAL BANK, N.A","28451","26276","FAILURE","PI","BIF"
"32238","NM","BOCA RATON, FL","3589","3/16/1993","1293","3442","THE GUARDIAN BANK, FSB","75564","69245","FAILURE","PA","RTC"
"3295","N","LANCASTER, TX","161","3/18/1993","4567","3443","UNITED BANK, N.A.","49805","49016","FAILURE","PI","BIF"
"11890","NM","VEGA, TX","2828","4/1/1993","4569","3444","FIRST STATE BANK","21444","20743","FAILURE","PI","BIF"
"19444","NM","MISSION, KS","12899","4/2/1993","4572","3445","MIDLAND BANK OF KANSAS","124262","120891","FAILURE","PI","BIF"
"24111","N","OVERLAND PARK, KS","15438","4/2/1993","4571","3446","COLLEGE BOULEVARD NATIONAL BANK","202754","190827","FAILURE","PI","BIF"
"24564","N","LOS ANGELES, CA","25230","4/2/1993","4570","3447","OLYMPIC NATIONAL BANK","82446","80484","FAILURE","PI","BIF"
"27773","SL","PRAIRIE VILLAGE, KS","36310","4/2/1993","1251","3448","PIONEER FS & LA","132850","128001","FAILURE","PA","RTC"
"23581","NM","NORTHRIDGE, CA","8857","4/8/1993","4573","3449","PREMIER BANK","73024","69818","FAILURE","PI","BIF"
"24676","N","SAN DIEGO, CA","3092","4/15/1993","4574","3450","FIRST WESTERN BANK, N.A.","16235","15313","FAILURE","PI","BIF"
"14787","N","HAMBURG, IA","165","4/29/1993","4575","3451","VALLEY NATIONAL BANK OF FREMONT","6952","6809","FAILURE","PI","BIF"
"25055","N","ANAHEIM, CA","43596","4/30/1993","4576","3452","AMERICAN COMMERCE NATIONAL BANK","139087","127661","FAILURE","PI","BIF"
"24653","N","LOS ANGELES, CA","5919","5/6/1993","4577","3453","WILSHIRE CENTER BANK,","9677","9391","FAILURE","PI","BIF"
"32731","N","CHARLOTTE, NC","1658","5/20/1993","4578","3454","CROWN NATIONAL BANK","26341","24804","FAILURE","PI","BIF"
"18257","SI","NEW LONDON, CT","116968","5/21/1993","4580","3455","NEW ENGLAND SAVINGS BANK","914884","720512","FAILURE","PI","BIF"
"23796","N","ROLLING HILLS EST, CA","10296","5/21/1993","4579","3456","PALOS VERDES NATIONAL BANK","45633","47775","FAILURE","PI","BIF"
"29671","SL","MARINA DEL RAY, CA","107864","6/4/1993","1300","3457","WESTERN FSB","3796241","2704214","FAILURE","PA","RTC"
"17963","NM","AMARILLO, TX","2515","6/10/1993","4581","3458","BANKCENTRAL AMARILLO","34745","34059","FAILURE","PA","BIF"
"21560","NM","SAN JOSE, CA","5528","6/18/1993","4582","3459","AMERICAN BANK AND TRUST","35577","34583","FAILURE","PA","BIF"
"23183","NM","LOS ANGELES, CA","64131","6/18/1993","4583","3460","CAPITAL BANK OF CALIFORNIA","227732","224691","FAILURE","PO","BIF"
"27307","N","WASHINGTON, DC","1023","6/25/1993","4584","3461","CITY NATIONAL BANK OF WASHINGTON","23984","22716","FAILURE","PA","BIF"
"3733","N","RANTOUL, IL","679","7/1/1993","4585","3462","EAGLE BANK OF CHAMPAIGN COUNTY, NATIONAL A","20188","19706","FAILURE","PI","BIF"
"24846","N","HOUSTON, TX","8175","7/1/1993","4586","3463","WESTHEIMER NATIONAL BANK","27945","28116","FAILURE","PA","BIF"
"16335","SM","LAKEWOOD, CO","38567","7/2/1993","4588","3464","JEFFERSON BANK & TRUST","127077","119404","FAILURE","PI","BIF"
"27268","NM","SEATTLE, WA","1053","7/2/1993","4587","3465","EMERALD CITY BANK","7845","7219","FAILURE","PI","BIF"
"26488","NM","LA MESA, CA","14330","7/9/1993","4591","3466","FIRST CALIFORNIA BANK","79395","77014","FAILURE","PI","BIF"
"26495","NM","LOS ANGELES, CA","17697","7/9/1993","4590","3467","CITY THRIFT AND LOAN ASSOCIATION","39383","36977","FAILURE","PO","BIF"
"24757","N","HOUSTON, TX","5473","7/22/1993","4592","3468","FIDELITY NATIONAL BANK","52624","50348","FAILURE","PI","BIF"
"5592","N","WOLFE CITY, TX","4851","7/29/1993","4593","3469","THE WOLFE CITY NATIONAL BANK","30421","32231","FAILURE","PI","BIF"
"32728","N","NORFOLK, VA","792","8/12/1993","4594","3470","NEW ATLANTIC BANK, NA","15083","14364","FAILURE","PA","BIF"
"32228","SB","IRVINE, CA","4521","8/13/1993","1260","3471","GOLDEN STATE FSB","50629","46554","FAILURE","PO","RTC"
"18220","NM","FORT WORTH, TX","7328","8/25/1993","4595","3472","TARRANT BANK","62583","59718","FAILURE","PI","BIF"
"23135","NM","LOS ANGELES, CA","5922","8/27/1993","4596","3473","MARITIME BANK OF CALIFORNIA","31761","30932","FAILURE","PI","BIF"
"32136","SL","PLEASANTON, CA","2775","9/10/1993","1234","3474","AMADOR VALLEY S & L","41886","41150","FAILURE","PA","RTC"
"27174","NM","SAN FRANCISCO, CA","1450","9/17/1993","4597","3475","REGENT THRIFT AND LOAN ASSOCIATION","35751","7228","FAILURE","PI","BIF"
"24654","N","LOS ANGELES, CA","7232","9/24/1993","4598","3476","WESTERN UNITED NATIONAL BANK","23727","22602","FAILURE","PO","BIF"
"32229","NM","LOS ANGELES, CA","21646","9/24/1993","1267","3477","WESTSIDE BANK, FSB","81689","76949","FAILURE","PO","RTC"
"8446","N","NEW BRAUNFELS, TX","2725","10/14/1993","4599","3478","PLAZA BANK, N.A. OF NEW BRAUNFELS","54647","56897","FAILURE","PI","BIF"
"26995","NM","LOS ANGELES, CA","3323","10/15/1993","4600","3479","BRENTWOOD THRIFT AND LOAN ASSOCIATION","12920","11481","FAILURE","PO","BIF"
"24452","N","BREA, CA","14270","10/21/1993","4601","3480","MID CITY BANK, N.A.","105734","102630","FAILURE","PA","BIF"
"22815","NM","SAN DIEGO, CA","58850","10/29/1993","4602","3481","THE BANK OF SAN DIEGO","294277","289131","FAILURE","PI","BIF"
"26374","NM","LOS ANGELES, CA","9553","11/5/1993","4603","3482","CENTURY THRIFT AND LOAN","31876","24486","FAILURE","PO","BIF"
"19367","N","PARAMOUNT, CA","47674","4/1/1994","4606","3483","MECHANICS NATIONAL BANK","148713","148881","FAILURE","PI","BIF"
"25678","N","KANSAS CITY, MO","3650","4/14/1994","4607","3484","SUPERIOR NATIONAL BANK","19970","19618","FAILURE","IDT","BIF"
"18332","NM","LOWELL, MA","3750","5/6/1994","4608","3485","COMMERCIAL BANK AND TRUST COMPANY","30274","29762","FAILURE","PA","BIF"
"27027","N","SAN FRANCISCO, CA","684","5/19/1994","4609","3486","BARBARY COAST NATIONAL BANK","10678","9296","FAILURE","PA","BIF"
"31484","SB","ENCINO, CA","7424","6/3/1994","1284","3487","ENCINO SAVINGS BANK, FSB","92470","89098","FAILURE","PA","RTC"
"26909","SI","HARTFORD, CT","13815","6/10/1994","4610","3488","THE BANK OF HARTFORD","321457","276016","FAILURE","PA","BIF"
"20442","NM","MERIDEN, CT","0","7/7/1994","4612","3489","THE MERIDEN TRUST AND SAFE DEPOSIT","3203","0","FAILURE","IDT","BIF"
"23448","SM","FULLERTON, CA","14515","7/8/1994","4611","3490","PIONEER BANK","133250","128382","FAILURE","PI","BIF"
"21922","NM","LOS ANGELES, CA","28821","7/15/1994","4613","3491","BANK OF SAN PEDRO","132636","128303","FAILURE","PI","BIF"
"22796","NM","NEWPORT BEACH, CA","14107","7/29/1994","4614","3492","COMMERCE BANK","142315","138296","FAILURE","PI","BIF"
"23157","NM","CORONA, CA","2618","7/29/1994","4615","3493","WESTERN COMMUNITY BANK","54013","53141","FAILURE","PI","BIF"
"20637","NM","NEWPORT BEACH, CA","28711","8/12/1994","4616","3494","BANK OF NEWPORT","167802","161785","FAILURE","PI","BIF"
"3432","NM","DOWNEY, CA","17839","8/26/1994","4617","3495","CAPITAL BANK","76892","74408","FAILURE","PI","BIF"
"90230","SI","LUDLOW, MA","2866","10/21/1994","4618","3496","LUDLOW SAVINGS BANK","222671","229130","FAILURE","PA","BIF"
"32374","SB","MISSION VIEJO, CA","4047","12/16/1994","1308","3497","CORNERSTONE BANK FSB","44345","38410","FAILURE","PA","RTC"
"24754","SM","LOS ANGELES, CA","20450","1/20/1995","4619","3498","GUARDIAN BANK","316944","297948","FAILURE","IDT","BIF"
"3480","NM","ONTARIO, CA","25627","3/3/1995","4620","3499","FIRST TRUST BANK","227695","223573","FAILURE","PI","BIF"
"33190","NM","LOS ANGELES, CA","6078","3/31/1995","4621","3500","LOS ANGELES THRIFT AND LOAN COMPANY","23388","22280","FAILURE","PI","BIF"
"31899","SL","SAN FRANCISCO, CA","22226","4/28/1995","1310","3501","CONTINENTAL SAVINGS OF AMERICA","359422","357025","FAILURE","PA","RTC"
"29781","SL","NEW YORK, NY","5967","5/5/1995","1311","3502","AMERICAN S & L ASSOCIATION","64397","57667","FAILURE","PA","RTC"
"23751","N","KIHEI, MAUI, HI","2593","5/19/1995","4622","3503","BANK USA, N.A.","9048","9124","FAILURE","PI","BIF"
"23319","NM","TORRANCE, CA","19349","7/28/1995","4624","3504","PACIFIC HERITAGE BANK","147685","146100","FAILURE","PI","BIF"
"26187","NM","NEW HAVEN, CT","10374","7/28/1995","4623","3505","FOUNDERS BANK","77364","77362","FAILURE","PI","BIF"
"27525","N","PHILADELPHIA, PA","7701","3/8/1996","4625","3506","METROBANK OF PHILADELPHIA","40379","39177","FAILURE","PI","BIF"
"18662","NM","BORGER, TX","3378","5/31/1996","4626","3507","PEOPLE'S BANK & TRUST","22739","22288","FAILURE","PA","BIF"
"3382","N","PANHANDLE, TX","16312","6/14/1996","4627","3508","FIRST NB OF THE PANHANDLE","68126","67968","FAILURE","PI","BIF"
"26431","NM","SOUTHPORT, CT","5663","7/12/1996","4628","3509","FAIRFIELD FIRST BANK & TRUST CO","57267","57329","FAILURE","PA","BIF"
"29236","SB","LOS ANGELES, CA","21921","8/9/1996","6001","3510","UNION FEDERAL BANK, FSB","32576","32745","FAILURE","PI","SAIF"
"27072","NM","TORRANCE, CA","5640","8/16/1996","4629","3511","COMMONWEALTH THRIFT & LOAN","11547","10883","FAILURE","PI","BIF"
"18338","NM","JENNINGS, LA","5026","11/21/1997","4630","3512","SOUTHWEST BANK","27923","27511","FAILURE","PA","BIF"
"14758","SM","RIVER ROUGE, MI","2866","4/9/1998","4631","3513","OMNIBANK","42038","40462","FAILURE","PA","BIF"
"91189","NM","BOULDER, CO","218595","7/23/1998","4632","3514","BESTBANK","233223","206325","FAILURE","PI","BIF"
"2174","SM","FORT BENTON, MT","1590","8/7/1998","4633","3515","Q BANK","14977","13888","FAILURE","PI","BIF"
